compound,epsilon/k (K),r_m (angstroms),sigma_LJ (angstroms),beta,T (K),M (g/mol),P (atm),viscosity benchmark (g/(cm*s)),diffusion benchmark
Kr,190.91758,,3.563594873,7.042029751,200,83.798,1,1.74E-04,
Kr,190.91758,,3.563594873,7.042029751,300,83.798,1,2.55E-04,0.099
