T_star,0.5,1,2,3,4,5,6,7,8,9,10,11,12
0.02,15695371300,2.15E+32,1.67E+14,24.40493353,12.22187403,8.442300694,7.001249967,6.460478957,6.329706587,6.395582538,6.55479945,6.760969132,7.001249967
0.04,155115952.5,4.49E+31,49.01794526,15.47230748,8.775655592,6.494169224,5.560729938,5.182357124,5.075033122,5.110183416,5.221399839,5.375372704,5.560729938
0.06,2.08E+12,1.60E+31,32.69354201,11.87795555,7.24640657,5.574180828,4.859448064,4.556194659,4.462437732,4.484667117,4.573091286,4.701328639,4.859448064
0.08,1.02E+14,1.14E+31,24.60532043,9.865613924,6.33397488,5.003320365,4.415954113,4.158461457,4.074057513,4.089021385,4.163387858,4.275275969,4.415954113
0.1,1.56E+16,5.93E+30,19.78521523,8.564153871,5.712607298,4.602593268,4.100105918,3.874144163,3.796743579,3.807034568,3.871631454,3.971891548,4.100105918
0.12,8149272512,3.36E+30,6.86E+16,7.646750683,5.25719634,4.301315887,3.859631604,3.656862159,3.584912727,3.59193688,3.649291596,3.740795951,3.859631604
0.14,16831584365,2.04E+30,14.24270754,6.958208812,4.906330567,4.064582708,3.668654147,3.483668402,3.41606973,3.420669307,3.472432506,3.557106033,3.668654147
0.16,28267494590,1.31E+30,12.47799486,6.415032528,4.624701357,3.872087043,3.512178125,3.341368056,3.277341599,3.280078871,3.327364935,3.406519494,3.512178125
0.18,2.73E+14,8.76E+29,6.04E+16,5.968583523,4.390396759,3.710734323,3.380459666,3.221426752,3.160460602,3.161727947,3.205305389,3.279813226,3.380459666
0.2,2.32E+14,6.07E+29,4.72E+16,5.590307527,4.189376568,3.571681094,3.266767627,3.117924235,3.059703611,3.05979519,3.1001951,3.170620697,3.266767627
0.4,1.85E+14,6.53E+30,4.76592809,3.461475504,2.948165443,2.681834063,2.533429219,2.453195909,2.417514302,2.413631596,2.43408712,2.474562094,2.533429219
0.6,4.84E+14,2.06E+30,1.66E+15,2.52989061,2.293229742,2.162315675,2.084792197,2.040456821,2.01937054,2.015930198,2.02675309,2.049892702,2.084792197
0.8,2.23E+15,8.23E+29,5.99E+14,2.036109016,1.907751168,1.835112717,1.790738868,1.764499605,1.751483155,1.748910589,1.75509762,1.76909946,1.790738868
1,2.49E+15,3.88E+29,1.938213742,1.74267534,1.664834037,1.620612715,1.593168962,1.576604476,1.568162688,1.566312608,1.570133837,1.579115433,1.593168962
1.2,2.10E+15,2.06E+29,1.35E+14,1.552965054,1.502002872,1.473247776,1.455293253,1.444330825,1.438658149,1.437355915,1.439873758,1.44589103,1.455293253
1.4,2.06E+15,1.19E+29,1.350348739,1.422185682,1.387027039,1.367476933,1.355287822,1.347816491,1.343933418,1.343045756,1.34479315,1.34893508,1.355287822
1.6,1.06E+15,7.33E+28,1.39737385,1.327396876,1.302277737,1.288617027,1.280174753,1.275020067,1.272361897,1.271794044,1.273057733,1.275940305,1.280174753
1.8,9.12E+14,4.76E+28,1.309378844,1.255886065,1.237547937,1.227884154,1.222016934,1.218482911,1.216704971,1.216389769,1.21733398,1.219327161,1.222016934
2,1.23E+15,3.22E+28,1.328124987,1.200147005,1.186621061,1.179804816,1.1757918,1.173442908,1.172323976,1.172213092,1.172937113,1.174275034,1.1757918
2.2,1.01E+15,2.26E+28,1.188508946,1.155511481,1.145541344,1.140837296,1.13821263,1.136763282,1.136155048,1.136212972,1.136779691,1.13761735,1.13821263
2.4,4.06E+14,1.63E+28,1.113954376,1.118948107,1.111694781,1.108611309,1.107060969,1.106316208,1.106115424,1.106315503,1.106766387,1.107210464,1.107060969
2.6,6.88E+14,1.20E+28,1.098594339,1.088415424,1.083296725,1.081492523,1.080796994,1.080619013,1.08075142,1.08107323,1.081436603,1.081563033,1.080796994
2.8,2.71E+14,9.09E+27,1.079394034,1.062495131,1.05909364,1.05832396,1.058324875,1.058613271,1.059023909,1.059451504,1.059747307,1.059611749,1.058324875
3,2.24E+14,6.99E+27,1.053651188,1.040175088,1.03818295,1.038267229,1.038847142,1.039526799,1.040173964,1.04069467,1.040937331,1.040581642,1.038847142
3.2,2.07E+15,5.46E+27,1.049240433,1.02071579,1.019900357,1.020702063,1.021771741,1.022785121,1.023636477,1.024240062,1.024440268,1.023896644,1.021771741
3.4,4.37E+14,4.33E+27,1.011819103,1.003565707,1.003747356,1.005160978,1.006651159,1.007953287,1.008983254,1.00966135,1.009827173,1.009120877,1.006651159
3.6,7.56E+13,3.48E+27,0.994530932,0.988305895,0.989343311,0.991285732,0.993141628,0.99469669,0.995884691,0.996630324,0.996768013,0.995919224,0.993141628
3.8,6.38E+13,2.83E+27,0.987845233,0.974612887,0.976393029,0.978797646,0.980975182,0.982754193,0.984083416,0.984890734,0.985005186,0.984030274,0.980975182
4,1.35E+15,2.32E+27,0.965202921,0.96223324,0.964664343,0.967476971,0.969940152,0.97191931,0.97337583,0.974239882,0.974334974,0.973247411,0.969940152
5,1.17E+14,9.77E+26,0.911898114,0.914199702,0.91897007,0.923278897,0.9268063,0.929543032,0.931491552,0.932585479,0.932621071,0.931108279,0.9268063
6,5.81E+13,4.80E+26,0.875055037,0.880468989,0.886699825,0.891976407,0.896210237,0.899462228,0.901755812,0.903021791,0.903031559,0.901231378,0.896210237
7,8.15E+12,2.63E+26,0.847358104,0.854805017,0.86204112,0.86800563,0.872753195,0.876387659,0.87894379,0.880347217,0.880347073,0.878335047,0.872753195
8,6.70E+15,1.56E+26,0.825440723,0.834219219,0.842192253,0.848675811,0.853818961,0.857753297,0.860519654,0.862037523,0.862036013,0.859859038,0.853818961
9,7.02E+15,9.79E+25,0.807176608,0.81708818,0.825625496,0.832516909,0.837976692,0.842154992,0.845095587,0.846711462,0.846713561,0.844403286,0.837976692
10,9.83E+12,6.46E+25,0.79174012,0.802445619,0.811428955,0.818650386,0.824370758,0.828752877,0.831841496,0.833543013,0.833551765,0.831130849,0.824370758
11,6.88E+15,4.44E+25,0.778348347,0.78967507,0.799019543,0.806513981,0.812453361,0.817009187,0.820225912,0.822003411,0.822020738,0.819506123,0.812453361
12,1.23E+14,3.15E+25,0.766537734,0.778361334,0.788003774,0.795727995,0.801854471,0.806560658,0.809889862,0.811735579,0.811762703,0.809167486,0.801854471
13,3.77E+12,2.29E+25,0.755984278,0.768212378,0.778104408,0.786024732,0.792313154,0.797151128,0.800580235,0.80248778,0.802525479,0.799860051,0.792313154
14,2.87E+12,1.71E+25,0.746453228,0.75901542,0.769119116,0.777208716,0.783638833,0.7885935,0.792112187,0.794076208,0.79412496,0.791397742,0.783638833
15,5.29E+15,1.30E+25,0.737769367,0.750610823,0.760895874,0.769132986,0.775688205,0.780747088,0.784346735,0.78636268,0.786422763,0.783640698,0.775688205
16,1.74E+12,1.01E+25,0.729798609,0.742875848,0.753317631,0.76168433,0.768350848,0.773503483,0.777176793,0.779240744,0.779312294,0.776481188,0.768350848
32,1.25E+15,6.41E+23,0.651358171,0.665817483,0.67730242,0.686623167,0.694177186,0.700130604,0.704477239,0.707020831,0.707259932,0.704028176,0.694177186
64,9061164084,4.04E+22,0.582337871,0.596873725,0.608560513,0.618210663,0.626185707,0.632610136,0.6374283,0.640376263,0.640840028,0.637411585,0.626185707
128,1.35E+13,2.54E+21,0.520444211,0.534391199,0.545760472,0.555306912,0.563348088,0.569969553,0.575072944,0.578336944,0.579051778,0.57559779,0.563348088
256,3.97E+11,1.59E+20,0.464786,0.477812799,0.488559883,0.497717396,0.505566815,0.512166754,0.517390427,0.520876399,0.521843065,0.518499848,0.505566815
512,68209417750,9.94E+18,0.414803774,0.426770351,0.436737058,0.445334419,0.452817974,0.459232529,0.464438841,0.46805505,0.469254785,0.46612267,0.452817974
